名称,销售量,销售额,商品单价,是否促销
休闲,1,5.9,5.9,否
粮油,1,2.7,2.7,否
休闲,1,13.5,13.5,否
酒饮,1,8.7,8.7,否
酒饮,4,7.6,2.2,是
休闲,1,8.9,8.9,否
休闲,1,0.8,0.8,否
休闲,1,4.7,6,是
日配,1,4.9,4.9,否
休闲,0.192,4.53,29.8,是
蔬果,0.502,3.29,6.56,否
肉禽,0.566,16.87,29.8,否
蔬果,0.134,2.25,16.8,否
蔬果,1.344,23.65,17.6,否
蔬果,0.312,1.56,5,否
蔬果,0.252,0.5,1.98,否
蔬果,0.92,1.82,1.98,否
休闲,1,5.7,5.7,否
粮油,1,1.9,1.9,否
休闲,0.252,4.54,18,否
休闲,0.128,4.35,34,否
酒饮,2,53.4,26.7,否
酒饮,1,6.5,6.5,否
冲调,1,3,3,否
家居,1,9,9,否
蔬果,0.366,3.51,9.6,否
洗化,1,17.9,17.9,否
蔬果,0.294,1.47,5,否
日配,1,14.8,19.3,是
粮油,1,0.5,0.5,否
粮油,1,1.9,1.9,否
洗化,1,8.9,8.9,否
日配,0.564,11.05,19.6,否
洗化,1,17.9,17.9,否
休闲,1,7.5,7.5,否
休闲,1,5.9,5.9,否
粮油,0.982,4.32,4.4,否
休闲,1,5.9,5.9,否
休闲,0.176,7,39.8,否
日配,1,3.7,3.7,否
休闲,1,10.9,10.9,否
蔬果,1.116,13.37,11.98,否
休闲,0.36,4.96,19.8,是
洗化,1,17.9,24.9,是
蔬果,1.516,26.98,17.8,否
蔬果,0.526,1.35,2.56,否
粮油,1,25.9,25.9,否
粮油,1,6.8,6.8,否
粮油,1,6.7,6.7,否
粮油,1,7.9,7.9,否
休闲,1,4.7,5.9,是
休闲,1,3.5,3.5,否
休闲,1,6.5,6.5,否
蔬果,1.56,9.3,5.96,否
粮油,1,3.8,3.8,否
粮油,1,7.7,7.7,否
洗化,1,8.9,9.9,是
肉禽,0.774,21.52,27.8,否
休闲,1,7.5,7.9,是
蔬果,0.6,1.55,2.58,否
蔬果,2.302,26.6,9.98,否
休闲,0.428,22.17,51.8,否
针织,1,8,8,否
蔬果,0.144,0.72,4.98,否
粮油,1,29.9,30.9,是
洗化,1,29.9,29.9,否
蔬果,0.788,5.99,7.6,否
蔬果,0.784,7.81,9.96,否
休闲,1,2.3,2.3,否
粮油,0.472,10.57,22.4,否
休闲,1,8.5,8.5,否
休闲,1,7.9,10.3,是
日配,1,1,1,否
休闲,1,3.5,3.5,否
洗化,1,11.9,11.9,否
冲调,1,14.9,20.3,是
休闲,1,8.9,8.9,否
休闲,1,9.9,12.9,是
文体,1,4.3,4.3,否
酒饮,1,11.9,13.8,是
酒饮,1,11.9,13.8,是
粮油,1,89.9,109,是
家居,1,10,10,否
日配,4,220,65,是
休闲,1,13.7,13.7,否
洗化,1,5.3,5.3,否
日配,1,7.3,7.3,否
日配,0.662,21.58,32.6,否
粮油,1,2.9,2.9,否
粮油,1,0.5,0.5,否
粮油,1,1,1,否
日配,1,55,65,是
休闲,1,7.5,7.5,否
酒饮,2,5.8,2.9,否
休闲,0.15,8.1,54,否
家居,1,8,8,否
蔬果,0.372,0.65,1.76,否
日配,1,19.7,19.7,否
休闲,1,1.9,1.9,否
休闲,1,5.9,5.9,否
粮油,1,25.9,25.9,否
日配,1,8.9,12.9,是
肉禽,1.784,74.57,41.8,否
日配,1,10.9,13.3,是
蔬果,0.268,1.06,3.96,否
蔬果,0.378,3.76,9.96,否
蔬果,0.354,3.4,9.6,否
蔬果,1,30,30,否
蔬果,0.266,2.07,7.8,否
蔬果,0.322,3.21,9.96,否
休闲,1,7.9,7.9,否
休闲,1,2.9,2.9,否
休闲,1,4.9,4.9,否
蔬果,1.3,15.57,11.98,否
休闲,1,6.9,6.9,否
休闲,1,17.5,17.9,否
家居,1,12,12,否
蔬果,0.356,1.99,5.6,否
日配,1,14.9,18.7,是
粮油,4,27.2,6.8,否
粮油,1,12.9,12.9,否
粮油,1,3.9,3.9,否
粮油,1,6.7,6.7,否
休闲,1,5.9,5.9,否
蔬果,0.308,2.27,7.6,否
日配,1,9.8,9.8,否
粮油,1,6.9,7.5,是
冲调,1,49,60.3,是
休闲,1,4.2,4.2,否
粮油,1,7.9,11.3,是
休闲,1,4.7,5.9,是
休闲,1,2.3,2.3,否
洗化,1,17.9,23.9,是
粮油,1,6.9,8.9,是
蔬果,1.054,4.17,3.96,否
休闲,1,11.8,11.8,否
蔬果,0.158,4.3,27.2,否
肉禽,0.306,9.12,29.8,否
粮油,-1,-11.7,11.7,否
粮油,1,11.7,11.7,否
休闲,1,4.3,4.3,否
蔬果,0.556,8.9,16,否
粮油,1,16.9,18.9,是
蔬果,0.448,3.4,7.6,否
酒饮,1,6.5,6.5,否
日配,2,10.6,5.3,否
休闲,1,25,25,否
休闲,1,2.3,2.3,否
休闲,1,5.9,8.7,是
针织,1,9.9,20,是
蔬果,0.64,1.15,1.8,否
蔬果,0.513,2.03,3.96,否
蔬果,0.278,4.67,16.8,否
蔬果,0.189,1.13,5.98,否
休闲,1,9.3,10.9,是
休闲,1,25.9,29.8,是
蔬果,1.304,3.86,2.96,否
粮油,1,12.9,12.9,否
粮油,1,2.9,2.9,否
酒饮,1,13.9,13.9,否
粮油,1,28.9,35.9,否
冲调,1,25.9,25.9,否
休闲,7,83.3,13.9,是
日配,1,5.9,5.9,否
家居,1,5,5,否
日配,1.6,10.85,6.78,否
休闲,0.254,10.06,39.6,否
日配,1,75,75,否
休闲,0.212,4.19,25,是
蔬果,0.434,3.2,5.56,否
粮油,1,2.3,2.3,否
蔬果,0.92,6.99,7.6,否
蔬果,0.122,3.32,27.2,否
休闲,1,7.5,7.5,否
洗化,1,9.7,9.7,否
休闲,1,32.9,33.9,是
日配,1,13.9,16.3,是
洗化,1,9.9,8.9,是
粮油,1,1.9,1.9,否
休闲,1,16.9,16.9,否
酒饮,1,13.9,13.9,否
日配,1,55,65,是
蔬果,0.198,1.78,9,否
休闲,1,28.9,47,是
文体,1,20.3,20.3,否
休闲,1,17.9,19.9,是
蔬果,1.154,4.57,3.96,否
蔬果,0.611,3.05,5,否
粮油,1,3.7,3.7,否
粮油,1,14.7,14.7,否
日配,1,11.3,11.3,否
休闲,0.152,4.4,35,是
洗化,1,10.9,10.9,否
洗化,1,4.9,4.9,否
蔬果,1.412,3.61,2.56,否
蔬果,2.316,23.07,9.96,否
休闲,0.12,8.52,71,否
洗化,1,12.9,17.7,是
蔬果,1.264,7.53,5.96,否
粮油,1,6.9,7.9,是
休闲,0.078,0.76,15.8,是
粮油,1,1.5,1.5,否
休闲,1,6,6,否
粮油,1,4.3,4.3,否
休闲,1,6.9,6.9,否
酒饮,4,4.8,1.5,是
日配,1,8.9,8.9,否
休闲,1,13.9,13.9,否
冲调,1,24.5,30.7,是
粮油,1,39.9,39.9,否
粮油,1,2.3,2.3,否
蔬果,0.364,0.54,1.48,否
粮油,1,13.9,13.9,否
休闲,7,59.5,8.5,否
休闲,1,4.7,5.9,是
粮油,1,2.3,2.3,否
休闲,1,4.3,4.3,否
酒饮,1,5.7,5.7,否
日配,1,6.9,10.9,是
酒饮,1,1.3,1.3,否
休闲,1,19.5,19.5,否
蔬果,0.546,5.24,9.6,否
酒饮,1,23,23,否
蔬果,0.61,1.57,2.58,否
日配,1.104,7.49,6.78,否
蔬果,0.748,1.35,1.8,否
休闲,1,7.9,7.9,否
休闲,1,11.9,13.9,是
休闲,1,3.5,3.5,否
蔬果,0.901,2.85,3.16,否
休闲,1,9.9,9.9,否
家居,1,5,5,否
休闲,1,4.5,4.5,否
酒饮,2,98,39,是
蔬果,0.48,2.78,5.8,否
粮油,1,4.8,4.8,否
粮油,1,24.9,24.9,否
日配,16,36.8,2.7,是
休闲,0.446,23.1,51.8,否
家居,1,6,6,否
肉禽,0.38,7.45,19.6,否
酒饮,20,440,22,否
蔬果,0.22,0.87,3.96,否
蔬果,0.192,1.53,7.96,否
蔬果,0.488,1.25,2.56,否
日配,12,49,5.5,是
洗化,4,6,1.5,否
粮油,1,0.5,0.5,否
粮油,1,3.7,3.7,否
休闲,1,2.9,2.9,否
文体,1,13,13,否
休闲,1,4,4,否
休闲,1,116,116,否
休闲,1,3.7,3.7,否
肉禽,0.84,35.11,41.8,否
日配,0.722,4.9,6.78,否
休闲,1,6.5,6.5,否
粮油,1,16.3,16.3,否
日配,1,52,75,是
酒饮,1,3,3,否
休闲,1,12,12,否
洗化,1,12.9,14.5,是
休闲,1,7.9,9.3,是
洗化,1,1.9,1.9,否
蔬果,0.502,5,9.96,否
休闲,0.41,9.76,23.8,否
蔬果,3.596,7.05,1.96,否
蔬果,1.888,6,3.18,否
休闲,1,9.9,9.9,否
休闲,1,38,38,否
粮油,1,4.5,4.9,是
洗化,1,8.9,9.9,是
粮油,1,6.9,6.9,否
粮油,1,6.7,6.7,否
粮油,1,28.9,30.9,是
蔬果,1.102,6.81,3.16,否
休闲,0.59,16.4,33.8,是
休闲,1,7.5,7.5,否
休闲,0.426,11.84,33.8,是
日配,1,5.9,7.5,是
休闲,1,7.5,7.5,否
休闲,1,3.5,3.5,否
粮油,12,38.4,3.2,否
休闲,1,2.3,2.3,否
休闲,1,6.9,6.9,否
蔬果,0.417,1.07,2.56,否
休闲,1,6.5,6.9,是
蔬果,0.126,1.13,9,否
蔬果,0.606,3.03,5,否
日配,2,13.8,10.9,是
蔬果,0.232,1.35,5.8,否
粮油,1,4.9,6.9,是
蔬果,0.642,1.64,2.56,否
粮油,1,66.9,75,是
休闲,1,4.5,4.5,否
日配,1,59,76,是
蔬果,3.164,6.2,1.96,否
休闲,0.138,3.31,24,否
蔬果,0.498,5.98,12,否
蔬果,0.262,1.47,5.6,否
休闲,1,6.5,6.9,是
休闲,1,20,20,否
粮油,1,0.5,0.5,否
休闲,1,4.7,4.7,否
酒饮,1,2.9,2.9,否
家居,1,5,5,否
休闲,1,8,8,否
休闲,0.654,12.94,23.8,是
休闲,1,17.9,17.9,否
日配,3,6.3,2.1,否
蔬果,1.748,3.43,1.96,否
蔬果,0.314,2.45,7.8,否
休闲,0.176,5.24,29.8,否
粮油,1,3.7,3.7,否
文体,1,1.7,1.7,否
日配,1,7.9,12.8,是
蔬果,0.708,11.3,15.96,否
洗化,3,41.4,16.9,是
日配,12,60,5,否
日配,1,78,78,否
粮油,1,2,2,否
洗化,1,4,5.9,是
休闲,0.622,24.75,49.8,是
洗化,2,27.8,15.9,是
蔬果,0.604,1.2,1.98,否
休闲,1,2.9,2.9,否
日配,1,12.9,12.9,否
粮油,1,3.9,3.9,否
休闲,0.436,5.66,13.8,是
粮油,1,7.9,7.9,否
冲调,1,21.9,21.9,否
休闲,1,4.3,4.3,否
休闲,1,20,20,否
休闲,0.286,4.51,23.8,是
休闲,0.508,7.01,13.8,否
蔬果,0.264,2.06,7.8,否
蔬果,0.23,1.15,5,否
蔬果,0.364,2.04,5.6,否
休闲,0.412,19.69,47.8,否
休闲,0.46,21.99,47.8,否
酒饮,1,6.5,6.5,否
肉禽,0.97,26.97,27.8,否
蔬果,0.52,3.12,6,否
洗化,1,3.5,3.5,否
洗化,1,5.9,5.9,否
洗化,1,9.9,13.9,是
粮油,1,2.3,2.3,否
蔬果,0.44,2.9,2.56,否
洗化,1,9.9,13.9,是
酒饮,6,288,48,否
粮油,1,8.2,8.2,否
休闲,1,5.9,5.9,否
休闲,1,6.7,6.7,否
休闲,1,4.9,4.9,否
休闲,1,29.9,29.9,否
蔬果,0.324,3.11,9.6,否
日配,1,3.9,4.3,否
日配,7,41.3,7.5,是
蔬果,1,4.98,4.98,否
休闲,0.196,9.76,49.8,否
休闲,0.38,4.48,21.6,是
休闲,1,2.9,2.9,否
休闲,1,11.9,14.3,是
粮油,1,8.9,8.9,否
粮油,1,3.8,3.8,否
洗化,1,2,2,否
日配,1,17.3,17.3,否
休闲,1,11.9,14.9,是
蔬果,2.148,4.3,2,否
日配,1,5.9,6.9,是
粮油,1,7.9,7.9,否
休闲,1,19.9,21.9,是
蔬果,1.866,18.66,10,否
蔬果,2.67,26.7,10,否
休闲,1,11.9,11.9,否
粮油,1,15.3,15.3,否
酒饮,24,39,2,是
日配,1,5.9,7.5,是
休闲,1,7.9,9.9,是
休闲,1,6.3,7.7,是
休闲,1,13.5,13.5,否
粮油,1,33.5,35.9,否
肉禽,0.668,23.91,35.8,否
日配,1,4.3,4.3,否
日配,24,54.9,3,是
粮油,1,6.7,6.7,否
日配,1.15,22.77,19.8,否
粮油,1,4.9,6.9,是
休闲,1,9.9,10.3,否
休闲,1,25.9,25.9,否
针织,1,6,6,否
休闲,1,6,6,否
粮油,1,11.6,14.7,是
休闲,1,1.8,1.8,否
休闲,0.374,14.89,39.8,否
洗化,1,9.9,13.9,是
休闲,1,2.5,2.5,否
休闲,1,4,4,否
日配,1,17.3,17.3,否
蔬果,0.78,2.01,2.58,否
日配,1,2.4,2.4,否
蔬果,1.27,2.54,2,否
休闲,1,4.3,4.3,否
蔬果,0.218,1.69,7.76,否
熟食,4,4,1,否
蔬果,0.445,1.69,3.8,否
蔬果,0.434,2.52,5.8,否
肉禽,0.426,7.5,17.6,否
洗化,1,19.7,19.7,否
蔬果,0.586,2.32,3.96,否
蔬果,0.35,6.3,18,否
酒饮,10,120,12,否
日配,1,78,78,否
休闲,0.432,20.65,47.8,否
休闲,1,9.3,9.3,否
休闲,1,6.9,6.9,否
粮油,1,66.9,75,是
休闲,1,11.9,14.3,是
休闲,1,2.5,2.5,否
粮油,1,79.9,87.9,是
休闲,0.18,24.84,138,否
休闲,1,4.5,4.5,否
休闲,1,4.3,4.3,否
休闲,1,9.9,12.9,是
休闲,1,9.9,14,是
休闲,1,1.9,1.9,否
蔬果,0.65,4.26,6.56,否
洗化,1,2.9,2.9,否
休闲,1,6.5,6.5,否
日配,1,78,78,否
冲调,1,24.5,30.7,是
休闲,0.234,3.2,19.8,是
休闲,1,9.3,10.9,是
休闲,0.172,7.84,45.6,否
肉禽,2.272,63.16,27.8,否
蔬果,0.216,1.94,9,否
蔬果,0.514,2.57,5,否
蔬果,2.698,21.53,7.98,否
休闲,1,32.9,33.9,是
日配,8,84,12.9,是
酒饮,1,6.9,6.9,否
日配,24,56,3,是
冲调,1,49,60.3,是
蔬果,0.254,1.77,6.96,否
粮油,1,5.5,5.5,否
蔬果,0.281,1.4,4,否
粮油,1,6.9,6.9,否
蔬果,0.628,11.05,17.6,否
粮油,1,6.7,6.7,否
休闲,1,4.9,4.9,否
休闲,1,25,25,否
休闲,1,7.5,7.5,否
蔬果,0.776,12.36,31.8,否
粮油,1,14.7,14.7,否
休闲,1,3.5,3.5,否
日配,1,9.9,15.5,是
粮油,2.292,12.79,5.58,否
蔬果,0.612,3.4,5.56,否
洗化,1,17.9,24.9,是
针织,1,109,109,否
粮油,1,11.7,11.7,否
休闲,1,10.5,10.5,否
日配,1,9.9,9.9,否
洗化,1,7.9,7.9,否
休闲,1,4,4,否
粮油,1,27.7,27.7,否
蔬果,0.396,2.22,5.6,否
日配,1,10.5,12.9,是
蔬果,1.412,4.49,3.18,否
粮油,1,0.5,0.5,否
蔬果,0.774,2.94,3.8,否
蔬果,0.706,1.4,1.98,否
日配,0.77,5.22,6.78,否
休闲,1,10.4,10.4,否
蔬果,0.746,22.38,30,否
日配,1,11.9,11.9,否
日配,1,17.3,17.3,否
洗化,1,5.9,5.9,否
蔬果,0.304,9.12,30,否
蔬果,1.086,6.04,5.56,否
粮油,1,4.5,4.5,否
蔬果,1,30,30,否
蔬果,0.524,1.55,2.96,否
粮油,0.001,0.01,13.8,否
休闲,1,5.5,5.5,否
酒饮,1,15.9,15.9,否
粮油,1,6.9,6.9,否
蔬果,0.477,1.81,3.8,否
粮油,1,3.3,3.3,否
休闲,1,8.3,8.3,否
蔬果,0.666,5.06,7.6,否
蔬果,0.836,4.85,5.8,否
蔬果,1.26,12.57,9.98,否
粮油,0.456,4.92,10.8,否
休闲,1,17.9,19.9,是
休闲,1,3.3,3.3,否
蔬果,0.359,2.15,5.98,否
粮油,1,5.5,5.5,否
蔬果,0.422,1.6,3.8,否
日配,1,5.9,6.9,是
休闲,1,5.3,5.3,否
酒饮,1,1.8,1.8,否
日配,16,39.9,2.8,是
蔬果,0.214,1.67,7.8,否
日配,1.132,21.73,19.2,否
休闲,1,18.9,18.9,否
粮油,0.346,4.77,13.8,否
日配,1,11.9,14.9,是
休闲,1,11.9,14.3,是
冲调,1,38.7,38.7,否
粮油,1,136,145,是
休闲,1,26.9,26.9,否
日配,7,73.5,12.9,是
蔬果,0.508,2.95,5.8,否
粮油,1,11.3,11.3,否
日配,1.638,11.11,6.78,否
粮油,-1,-12.9,12.9,否
休闲,1,23,23,否
粮油,1,3.7,3.7,否
日配,0.798,5.41,6.78,否
粮油,1,7.3,7.3,否
蔬果,0.354,0.91,2.56,否
粮油,1,0.5,0.5,否
粮油,1,136,145,是
酒饮,1,39,42,是
日配,1,11.8,11.8,否
日配,1,5.9,6.9,是
洗化,1,12.9,14.5,是
洗化,1,9.9,13.9,是
休闲,1,4.3,4.3,否
休闲,1,7.9,7.9,否
休闲,1,17.5,19.8,是
蔬果,0.577,2.89,5,否
洗化,1,11.9,11.9,否
洗化,1,6.9,11.9,是
日配,1,11.8,11.8,否
日配,1,8.9,12.9,是
粮油,1,2.5,2.7,否
熟食,0.658,13.16,20,否
休闲,1,3.6,3.6,否
休闲,1,7.9,7.9,否
休闲,1,4.3,4.3,否
休闲,1,5.3,5.3,否
酒饮,1,3,3,否
粮油,1,8.9,8.9,否
休闲,1,3.4,3.4,否
洗化,1,4.7,4.7,否
日配,2,4,2,否
休闲,1,4.2,4.2,否
粮油,0.184,5.48,33.8,是
洗化,1,2.9,2.9,否
日配,0.65,12.74,19.6,否
休闲,1,8.3,9.5,是
粮油,1,4,4,否
休闲,1,9.7,9.7,否
休闲,1.528,24.14,19,是
休闲,1,4.7,5.9,是
蔬果,0.306,1.21,3.96,否
粮油,2,13.8,7.9,是
休闲,1,4.7,6,是
蔬果,0.809,3.24,4,否
蔬果,0.784,6.88,1.98,否
粮油,1,4.7,4.7,否
针织,1,25,25,否
休闲,1,7.9,7.9,否
粮油,1,3.9,3.9,否
蔬果,-1,-4.98,4.98,否
蔬果,1,4.98,4.98,否
蔬果,1.042,4.13,3.96,否
粮油,1,6.8,6.8,否
日配,24,58.8,3,是
休闲,0.804,9.46,19.6,是
休闲,1,4.7,5.9,是
休闲,-1,-25.8,25.8,否
休闲,1,25.8,25.8,否
日配,1,8.9,12.9,是
蔬果,0.52,2.06,3.96,否
蔬果,0.276,4.97,18,否
日配,24,58.8,3,是
休闲,0.172,6.84,49.8,是
日配,0.67,4.54,6.78,否
休闲,1,4.3,4.3,否
休闲,0.166,7.2,51.6,是
酒饮,1,11.9,13.8,是
粮油,2,5.6,2.8,否
肉禽,0.224,6.23,27.8,否
日配,1,10.9,13.3,是
休闲,1,22,22,否
蔬果,1.136,5.66,4.98,否
休闲,1,2.3,2.3,否
休闲,1,5.4,5.4,否
洗化,1,16.9,23.9,是
日配,1,8.5,10.3,是
蔬果,0.758,13.49,17.8,否
冲调,1,18.9,25.7,是
日配,1,8.9,12.9,是
粮油,1,7.9,7.9,否
蔬果,0.591,1.51,2.56,否
蔬果,0.304,1.52,5,否
粮油,1,89.9,109,是
酒饮,1,13.9,13.9,否
休闲,0.608,13.74,22.6,否
蔬果,0.204,1.52,7.47,否
酒饮,1,6.5,6.5,否
休闲,1,32.9,33.9,是
蔬果,0.42,1.68,4,否
日配,0.776,5.26,6.78,否
洗化,1,9.9,9.9,否
蔬果,0.66,1.31,1.98,否
洗化,1,3.7,3.7,否
冲调,1,3,3,否
蔬果,0.702,4.18,5.96,否
洗化,1,9.9,10.9,是
洗化,1,12.9,18.9,是
休闲,1,9.3,10.9,是
针织,1,59.9,59.9,否
酒饮,1,38.5,38.5,否
蔬果,0.86,13.73,15.96,否
日配,1,12.9,18.5,是
休闲,1,17.9,19.9,是
酒饮,6,19.8,3.3,否
休闲,1,17.9,19.9,是
休闲,1,3.9,3.9,否
粮油,12,42,3.5,否
休闲,1,3.5,3.5,否
蔬果,0.486,4.37,9,否
粮油,1,6.9,9.5,是
粮油,1,39.7,39.7,否
粮油,1,1.7,1.7,否
粮油,1,1.9,1.9,否
休闲,0.232,21.25,110,是
休闲,2,90,49.8,是
休闲,0.382,19.79,51.8,否
蔬果,0.196,0.98,5,否
冲调,1,38.7,38.7,否
洗化,1,8.5,8.9,是
蔬果,1,42,88,否
休闲,1,12.5,12.5,否
针织,1,49.9,85,是
蔬果,0.598,10.76,18,否
蔬果,0.276,2.14,7.76,否
酒饮,1,11.9,13.8,是
蔬果,1.808,50.26,27.8,否
蔬果,0.626,2.48,3.96,否
蔬果,2.176,8.62,3.96,否
粮油,1,0.5,0.5,否
洗化,1,4.3,4.3,否
休闲,1,48,48,否
蔬果,0.962,2.46,2.56,否
蔬果,0.794,6.97,2.58,否
粮油,0.294,5.82,37.8,是
休闲,1,17.9,17.9,否
酒饮,1,5,5,否
冲调,1,16.9,24.3,是
日配,1,5.5,8.3,是
粮油,1,5.5,5.5,否
粮油,1,66.9,75,是
休闲,1,5.7,5.7,否
粮油,1,21.9,21.9,否
肉禽,0.158,6.95,44,否
休闲,1,7.5,7.9,是
冲调,1,17.3,17.3,否
休闲,1,5.7,5.7,否
休闲,1,10.9,10.9,否
休闲,1,4.7,4.7,否
日配,1,55,65,是
粮油,1,2.5,3.5,是
蔬果,1.028,4.07,3.96,否
日配,1,43.9,66,是
休闲,1,4.9,4.9,否
休闲,1,7.9,7.9,否
蔬果,1.1,13.18,11.98,否
冲调,1,29.9,35.7,是
冲调,1,69.7,69.7,否
休闲,0.438,17.43,39.8,否
蔬果,0.412,1.06,2.58,否
冲调,1,14.5,14.5,否
针织,1,25.5,25.5,否
蔬果,0.472,2.64,5.6,否
蔬果,0.582,4.42,7.6,否
洗化,1,7.9,7.9,否
蔬果,1.008,16.09,15.96,否
休闲,1,5.3,5.3,否
休闲,1,23,23,否
日配,1,10.5,12.9,是
粮油,1,5.3,5.3,否
熟食,0.238,4.76,20,否
休闲,1,38,38,否
冲调,1,22.5,28,是
日配,1,2,2,否
休闲,1,7.3,7.3,否
休闲,1,9.9,9.9,否
休闲,1,14.9,14.9,否
蔬果,0.912,2.88,3.16,否
粮油,12,44.4,3.7,否
休闲,0.242,3.8,23.8,是
休闲,1,25.5,29.5,是
粮油,1,9.5,9.5,否
粮油,1,1.1,1.1,否
休闲,0.506,4.95,11.8,是
休闲,1,5.8,6.5,否
休闲,1,24.9,24.9,否
粮油,1,2,4.5,是
蔬果,0.734,1.45,1.98,否
日配,24,117.6,5.3,是
粮油,1,7.9,7.9,否
休闲,1,30.5,30.5,否
洗化,1,3.9,3.9,否
蔬果,0.632,2.53,4,否
休闲,1,11.8,11.8,否
蔬果,1,18,18,否
蔬果,1,2,2,否
粮油,1,6.8,6.8,否
冲调,1,16.9,24.3,是
日配,2,4.2,2.1,否
洗化,1,4.9,4.9,否
休闲,1,5.5,5.5,否
休闲,1,6.5,6.5,否
休闲,1,25,25,否
蔬果,3.316,39.73,11.98,否
日配,12,49,5.5,是
蔬果,1.97,3.86,1.96,否
休闲,3,135,49.8,是
粮油,0.174,15.63,89.8,否
休闲,1,3,3,否
休闲,1,4,4,否
蔬果,1.426,8.5,5.96,否
蔬果,1.292,7.49,5.8,否
粮油,1,2.9,2.9,否
休闲,0.302,2.95,11.8,是
休闲,1,6.5,6.5,否
休闲,1,8.5,11.9,是
粮油,1,3.9,4.7,是
休闲,7,48.3,6.9,否
日配,1,3.3,3.9,是
粮油,1,1.3,1.3,否
休闲,1,32.9,33.9,是
蔬果,1.65,9.83,5.96,否
休闲,1,5.5,5.5,否
粮油,12,39,3.8,是
粮油,1,5.9,5.9,否
休闲,1,3.3,3.3,否
酒饮,1,11.9,13.8,是
针织,1,3.9,6,是
休闲,1,4.5,4.5,否
休闲,1,3.6,3.6,否
休闲,1,9.3,10.9,是
休闲,1,11.9,13.9,是
日配,1,6.3,6.3,否
蔬果,1.68,13.37,7.96,否
休闲,0.29,11.54,49.8,是
休闲,0.222,11.99,54,否
休闲,0.95,18.8,23.8,是
粮油,1,8.9,9.5,否
休闲,1,5.2,5.2,否
酒饮,1,11.9,13.8,是
休闲,1,89,98,是
洗化,1,12.9,14.5,是
洗化,1,2,2,否
家居,1,17,17,否
休闲,1,4.5,4.5,否
休闲,0.214,6.2,35,是
日配,2,156,78,否
洗化,1,4.9,4.9,否
粮油,1,6.7,6.7,否
粮油,1,2,2,否
蔬果,1.714,6.82,3.98,否
蔬果,0.498,0.99,1.98,否
粮油,1,49.9,59.9,是
蔬果,3.115,12.4,3.98,否
肉禽,2.628,52.03,19.8,否
蔬果,1,5.8,5.5,否
蔬果,0.308,3.08,10,否
休闲,1,6.3,6.3,否
粮油,1,27.7,27.7,否
休闲,1,4,4,否
休闲,0.236,2.31,15.8,是
冲调,1,36,36,否
肉禽,1.628,42,25.8,否
蔬果,0.446,2.67,5.98,否
蔬果,0.412,3.71,9,否
休闲,1,4,4,否
休闲,0.302,12.01,49.8,是
日配,1,17.3,17.3,否
粮油,1,6.9,6.9,否
酒饮,1,11.9,12.3,是
日配,1,6.9,10.9,是
洗化,1,10.9,10.9,否
肉禽,0.606,18.06,29.8,否
休闲,1,5.9,5.9,否
洗化,1,7.9,9.5,是
肉禽,1.118,46.73,41.8,否
休闲,1,7.9,7.9,否
蔬果,0.578,14.45,25,否
日配,1,5.5,8.3,是
粮油,1,2.9,2.9,否
休闲,0.294,5.2,27.8,是
休闲,1,8.9,8.9,否
冲调,1,24.5,30.7,是
休闲,1,7.5,7.5,否
蔬果,2.044,24.49,11.98,否
酒饮,1,11.9,13.8,是
酒饮,12,58.8,5.9,是
日配,1,12.9,18.5,是
日配,1,16.8,16.8,否
粮油,1,7.3,7.3,否
休闲,1,21.7,21.7,否
酒饮,1,5.6,6.9,是
蔬果,0.456,4.38,9.6,否
日配,0.964,6.54,6.78,否
洗化,1,17.9,17.9,否
洗化,1,33.7,33.7,否
蔬果,1.064,18.73,17.6,否
蔬果,0.46,3.5,7.6,否
日配,1,6.9,10.9,是
蔬果,0.771,2.93,3.8,否
蔬果,0.932,52.19,56,否
熟食,0.554,22.16,40,否
日配,1,5.9,6.9,是
日配,1,6.9,10.9,是
蔬果,0.446,2.59,5.8,否
日配,1,10.5,12.9,是
蔬果,0.368,1.46,3.96,否
休闲,1,2.9,2.9,否
休闲,1,10.9,10.9,否
家居,10,30,3,否
粮油,1,2.7,2.7,否
粮油,1,1.7,1.7,否
休闲,0.052,2.9,55.8,否
洗化,1,4.9,4.9,否
洗化,1,11.9,15.7,是
酒饮,1,9.5,11.3,是
粮油,1,13.9,15.5,是
休闲,1,4.9,4.9,否
休闲,1,5.5,5.5,否
文体,1,1.7,1.7,否
粮油,1,3.3,5.9,是
休闲,1,19.9,19.9,否
蔬果,0.606,1.19,1.96,否
蔬果,0.806,5.29,6.56,否
休闲,0.218,8.63,39.6,否
冲调,1,136,155,是
休闲,0.344,20.3,59,否
休闲,0.244,33.67,138,否
酒饮,1,3.5,3.5,否
酒饮,1,3.2,3,是
酒饮,1,29,29,是
洗化,1,8.9,8.9,否
日配,1,5.9,7.5,是
蔬果,0.32,1.79,5.6,否
日配,1,5.9,7.5,是
蔬果,5.856,23.31,3.98,否
休闲,0.482,7.6,19.8,是
粮油,1,3.6,4.5,是
洗化,1,4.7,4.7,否
休闲,1,4.5,4.5,否
休闲,0.694,6.8,11.8,是
肉禽,0.52,14.46,27.8,否
休闲,0.18,10.76,59.8,否
休闲,1,4.9,4.9,否
休闲,1,7.5,7.5,否
休闲,1,3.9,3.9,否
蔬果,0.72,8.6,17.6,否
